ref	4585_mips_mapped.sam	4595_mips_mapped.sam
1948	61	73
1949	241	201
1946	311	253
1947	258	229
1945	78	55
1255	69	91
811	92	76
817	108	100
1799	64	88
1798	100	82
1793	150	151
1792	100	105
1791	121	107
1790	130	138
1797	87	35
1495	270	262
1700	339	409
1701	53	112
1702	173	177
1703	154	190
1704	134	86
1705	383	235
1706	248	237
1707	360	231
1708	90	53
1709	188	127
1064	117	111
1666	114	95
1665	89	117
1662	159	163
1661	75	85
1660	173	119
591	182	195
198	34	72
597	105	85
196	289	224
190	113	90
1127	347	214
529	145	111
445	122	87
109	149	91
2046	157	83
1849	73	46
1848	106	154
2043	163	163
1843	368	354
1842	103	130
1841	288	442
1847	120	98
1846	81	49
1845	94	70
2049	247	185
1537	25	24
439	116	130
430	147	173
338	66	57
854	33	41
842	303	251
1991	270	214
1996	104	73
740	232	143
748	141	108
235	101	77
1054	259	156
1059	148	123
1192	124	137
1696	217	198
1697	477	526
1694	24	19
1695	299	285
1692	212	144
1693	53	93
1690	174	155
1691	149	137
1756	228	201
1755	180	147
1754	381	284
1698	130	118
1750	70	67
1279	42	74
1171	42	40
1170	110	114
612	113	105
1274	38	29
1178	58	121
1280	44	65
1289	231	177
2087	216	106
2084	238	161
941	114	117
1476	274	220
1477	2	9
1478	157	96
1570	40	60
1305	51	48
1306	51	52
137	66	69
1833	257	256
1836	37	230
1837	157	135
1834	221	188
1835	179	112
1838	294	221
28	80	87
29	179	193
2019	80	70
2018	99	99
1378	145	87
2017	88	105
1759	68	68
1955	163	167
1954	154	113
1957	136	116
1956	178	116
1951	126	95
1950	150	104
1953	217	170
1952	238	259
1959	130	97
1958	101	80
1511	211	168
827	126	225
1699	444	275
374	246	129
376	172	189
706	84	58
1484	54	34
797	68	89
1712	207	186
1710	299	253
1717	50	23
1716	159	144
1715	136	197
415	42	71
1719	356	302
1718	95	77
1658	368	301
1659	408	301
1652	97	78
1653	222	158
1650	210	259
1651	83	68
1656	96	77
1657	167	83
1654	17	29
1655	119	106
583	193	117
1135	66	55
510	38	85
513	94	54
1004	86	98
1000	48	33
1224	66	38
626	68	66
624	106	140
452	75	80
454	70	65
1345	518	584
173	97	110
2051	109	79
2053	230	235
972	288	205
652	70	85
2110	178	241
189	151	155
2115	126	206
1919	114	77
1918	199	143
1913	85	79
1912	59	78
1915	127	106
1914	104	114
1917	168	136
1916	86	126
2113	159	136
2025	176	143
2026	112	81
2027	61	32
2020	98	73
2021	131	128
2022	78	53
2023	109	112
2014	399	280
884	256	193
940	35	49
1968	81	55
1969	206	161
1964	148	133
1965	59	51
1966	232	98
1967	171	96
1960	131	97
1961	189	152
1610	361	489
1963	66	49
775	200	196
779	106	149
1046	106	65
1681	308	243
1680	200	215
1768	134	134
1769	140	112
1685	61	45
1684	92	91
1687	3	0
1686	441	316
1762	334	296
1688	190	151
1760	0	0
1766	21	7
1147	30	26
1267	315	266
2099	186	170
2098	120	112
1544	124	65
694	285	223
543	185	143
1462	337	291
1311	129	64
998	103	88
124	52	82
1829	229	219
1828	53	113
1825	51	64
1824	38	47
1827	0	0
1823	13	22
1822	170	170
2069	157	118
1388	85	76
2060	201	118
921	326	242
418	41	40
2066	44	56
2067	68	70
1924	276	261
835	141	225
363	128	147
380	109	104
1645	72	58
1647	131	126
1646	231	207
2002	282	254
1643	364	283
1729	71	74
1727	187	323
1724	175	170
1725	295	215
1649	66	94
1648	40	97
1721	72	68
573	161	86
66	151	171
67	268	367
1424	124	91
1356	302	323
463	146	158
1354	66	64
169	259	243
1867	163	158
1866	125	111
1728	13	26
285	52	56
2108	188	165
1519	139	119
1452	123	137
1101	100	118
2103	115	75
2102	125	135
1516	270	224
2107	431	302
1512	205	221
2048	50	80
1844	134	115
1814	350	323
1815	169	194
1816	184	292
1810	230	259
1812	190	156
1813	273	227
1819	134	117
2036	86	82
2033	8	30
2032	338	337
2031	198	140
2030	212	111
2038	115	134
897	10	18
1979	62	85
1978	103	133
1973	330	259
1972	15	14
1971	260	268
1970	68	64
357	130	98
1788	107	65
1789	305	299
1781	84	78
1782	106	98
1783	71	38
1784	157	123
1962	104	56
1775	25	41
1774	121	93
1777	169	99
1776	162	120
1771	103	50
1770	17	15
1773	82	78
1772	143	153
1071	111	130
1679	60	47
1674	129	117
1675	153	168
1676	53	77
1677	56	71
1670	290	203
1671	369	318
1672	133	98
1673	137	100
1157	65	88
670	72	69
1153	104	72
59	114	83
532	11	9
538	125	128
1326	160	124
1850	84	93
1851	177	156
428	154	168
2079	94	44
2078	57	86
1521	298	283
2073	351	326
2072	197	131
422	144	109
911	66	90
2075	110	58
1259	20	36
307	68	110
847	201	119
2070	199	118
1739	31	23
1633	130	118
1980	413	347
1981	203	284
1730	191	206
563	104	120
564	139	128
1595	172	131
228	114	145
1186	311	203
1029	77	60
1749	202	205
1740	142	150
1741	198	156
1742	154	100
1161	68	48
1201	32	29
1200	193	241
1894	152	133
1895	271	223
1896	324	343
1897	216	162
958	117	125
1683	82	111
1111	131	175
1682	384	406
1563	220	212
1689	222	244
484	213	176
1804	211	148
1803	89	74
1802	445	374
1801	84	40
1800	268	239
1809	80	44
1808	137	87
1366	214	188
1364	206	162
2001	73	59
2004	55	95
